GeoID,pop,employed,pct_employed,income,bike,pct_bike,transit,pct_transit,pct_30m,pct_maleBachelor,houseAge,housingUnits,pct_male,pct_white,mdAge,mdRent,mdHouseValue,pct_renterOccupied
60750159002,2796,1536,98.84169884,63676,150,10.15572106,793,53.68991198,58.31622177,31.1903566,27,1496,49.78540773,35.01430615,30.9,2562,992668,91.20171674
60750160001,2807,1554,96.04449938,63808,53,3.437094682,718,46.56290532,52.40677966,36.65979381,37,1954,53.47345921,48.16530103,44.6,1365,658100,74.91984325
60750161001,1288,535,78.21637427,40729,62,11.58878505,165,30.8411215,29.90654206,10.56635672,44,434,48.52484472,2.48447205,48.8,896,622700,74.96075353
60750161002,1072,641,97.71341463,27542,45,7.55033557,294,49.32885906,56.92883895,28.82599581,46,702,47.10820896,43.93656716,39.4,1818,781300,93.09701493
60750161003,876,169,64.75095785,12305,0,0,46,27.21893491,38.29787234,6.043165468,51,517,41.21004566,21.46118721,50,285,992668,97.37442922
60750161004,2326,1087,94.27580225,24583,0,0,603,57.1563981,73.68983957,29.88147224,38,1190,43.25021496,26.22527945,30.7,1046,992668,96.9905417
60750162001,888,676,98.54227405,77083,38,5.621301775,275,40.68047337,44.64831804,42.61704682,69,641,65.87837838,58.22072072,40.3,1305,992668,79.61711712
60750162002,1105,822,99.27536232,84167,57,7.011070111,424,52.15252153,40.43367347,43.14115308,45,610,63.98190045,53.12217195,36.3,1193,1038500,79.63800905
60750162003,1243,910,96.91160809,122500,58,6.524184477,391,43.98200225,54.77031802,46.83776352,79,703,60.98149638,76.91069992,36,1865,992668,96.6255144
60750163001,681,337,100,21857,0,0,161,47.77448071,54.15282392,12.40601504,66,494,43.02496329,14.83113069,47.8,937,625000,88.39941263
60750163002,1000,759,95.83333333,154563,0,0,342,47.10743802,63.04347826,28.58769932,79,504,52,56.3,33.5,2125,1081300,79.7
60750163003,2990,2331,97.0845481,161103,363,15.97008359,951,41.83897932,62.20984215,54.20782299,79,1162,67.35785953,69.89966555,31.4,1990,1060800,76.01410935
